"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5"
"Year","Vietnam","Ø EU","Ø USA","Ø World"
"2021","1.83 %","2.55 %","4.70 %","3.50 %"
"2020","3.22 %","0.50 %","1.23 %","1.92 %"
"2019","2.80 %","1.63 %","1.81 %","2.19 %"
"2018","3.54 %","1.74 %","2.44 %","2.44 %"
"2017","3.52 %","1.43 %","2.13 %","2.19 %"
"2016","2.67 %","0.18 %","1.26 %","1.55 %"
"2015","0.63 %","-0.06 %","0.12 %","1.43 %"
"2014","4.08 %","0.20 %","1.62 %","2.35 %"
"2013","6.59 %","1.22 %","1.46 %","2.62 %"
"2012","9.09 %","2.66 %","2.07 %","3.73 %"
"2011","18.68 %","3.29 %","3.16 %","4.82 %"
"2010","9.21 %","1.53 %","1.64 %","3.35 %"
"2009","6.72 %","0.84 %","-0.36 %","2.94 %"
"2008","23.12 %","4.16 %","3.84 %","8.95 %"
"2007","8.34 %","2.51 %","2.85 %","4.82 %"
"2006","7.42 %","2.67 %","3.23 %","4.28 %"
"2005","8.28 %","2.49 %","3.39 %","4.11 %"
"2004","7.75 %","2.29 %","2.68 %","3.38 %"
"2003","3.23 %","2.09 %","2.27 %","3.03 %"
"2002","3.83 %","2.42 %","1.59 %","2.83 %"
"2001","-0.43 %","3.37 %","2.83 %","3.84 %"
"2000","-1.71 %","3.15 %","3.38 %","3.49 %"
"1999","4.12 %","2.16 %","2.19 %","3.08 %"
"1998","7.27 %","2.42 %","1.55 %","5.11 %"
"1997","3.21 %","3.11 %","2.34 %","5.57 %"
"1996","5.67 %","3.56 %","2.93 %","6.55 %"
